Chlamydia_abortus_strain_162STDY5437294	Chlamydia_muridarum_str._Nigg
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_strain_AMK
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_muridarum_str._Nigg
Chlamydia_avium_10DC88	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_caviae_GPIC	Chlamydia_felis_FeC-56
Chlamydia_crocodili_strain_No._12	Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_gallinacea_08-12743	Chlamydia_pecorum_E58
Chlamydia_muridarum_str._Nigg	Chlamydia_trachomatis_strain_QH111L
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_trachomatis_L1115
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_trachomatis_EBour
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_psittaci_MN	Chlamydia_psittaci_WSRTE30
Chlamydia_psittaci_strain_AMK	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_psittaci_strain_GIMC_2004CpsAP23	Chlamydia_trachomatis_strain_E-32931
Chlamydia_suis_isolate_4-29b	Chlamydia_trachomatis_strain_E-32931
Chlamydia_trachomatis_strain_E-32931	Chlamydia_trachomatis_strain_QH111L
